,,sif,sif,sif,sif_z,sif_z,sif_z,et,et,et,et_z,et_z,et_z
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count
irr_group,dm_cat,,,,,,,,,,,,
High irrigation,0,0.4485215,0.24267624,3058,0.3577182,0.7869372,3058,26.612686,10.5290575,3058,0.34614903,0.7016139,3054
High irrigation,1,0.4342613,0.23551138,2933,0.08820169,0.7858433,2933,29.6551,11.542867,2933,0.5908365,0.7063522,2932
High irrigation,2,0.41416442,0.22176664,3059,-0.3647082,0.73541504,3059,31.513884,11.993399,3059,0.68292177,0.6385555,3053
High irrigation,3,0.3847238,0.20824307,636,-0.8380207,0.6031069,636,35.574905,13.2725935,636,1.1039493,0.48563072,636
High irrigation,4,0.15407576,0.031706568,19,-1.2160972,0.21337627,19,28.102892,6.7853355,19,1.2971812,0.24690133,19
Low irrigation,0,0.27293885,0.22529304,5238,0.118759744,0.89474773,5238,2.0587108,9.159305,5238,-0.53654116,0.70951396,5233
Low irrigation,1,0.1788809,0.1877701,2320,0.05609917,0.7850476,2320,3.2087152,8.455578,2320,-0.27376878,0.7846812,2320
Low irrigation,2,0.16371113,0.16926362,1795,-0.116251186,0.7448909,1795,4.673723,7.0065675,1795,-0.09784184,0.7257572,1794
Low irrigation,3,0.0957047,0.12037727,314,-0.42639413,0.54019976,314,5.321789,6.529202,314,0.38671958,0.6383304,314
Low irrigation,4,0.118653335,0.08860877,37,-0.8951249,0.64765525,37,3.4900248,4.723293,37,0.415633,0.7344752,37
