state,n_pixels,mean_et_min,mean_et_median,mean_et_max,trend_min,trend_median,trend_max
Arkansas,191,-14.252,5.087,50.333,-2.211,0.700,2.103
California,223,-1.996,77.476,123.974,-5.250,0.576,6.488
Colorado,186,-3.622,14.239,76.048,-1.629,0.808,3.012
Idaho,121,-5.198,48.806,81.478,-1.933,0.583,3.112
Illinois,648,-12.282,6.375,39.488,-1.624,0.647,3.850
Iowa,804,-10.801,10.270,39.770,-0.542,1.158,3.372
Kansas,610,3.408,17.766,65.716,-0.661,1.717,5.196
Kentucky,56,-18.289,8.322,23.102,-0.651,0.574,2.200
Louisiana,99,-21.990,3.597,22.996,-0.951,0.743,2.226
Minnesota,680,-1.282,18.915,67.309,-1.968,0.504,2.808
Mississippi,93,-13.100,5.525,53.371,-1.901,0.262,2.330
Missouri,234,-12.185,10.370,32.740,-1.179,1.201,2.895
Montana,318,0.282,21.971,49.129,-1.800,0.344,2.373
Nebraska,541,0.727,18.081,50.105,-0.601,2.153,4.343
North Dakota,810,11.313,25.567,80.293,-2.227,0.141,2.573
Oklahoma,156,9.793,26.527,56.743,-0.844,1.415,4.477
Oregon,67,-6.456,27.119,97.069,-2.819,0.460,4.630
South Dakota,515,9.732,25.196,47.623,-1.459,1.153,2.952
Tennessee,54,-16.057,8.148,30.904,-1.568,-0.054,1.701
Texas,369,6.278,32.393,112.883,-3.871,1.499,6.103
Washington,182,-1.710,24.907,100.436,-3.793,0.271,5.731
Wisconsin,193,2.504,33.809,83.583,-3.942,-0.310,0.730
